,Artist,Album,Stream Count
0,Alex+Cameron,Forced+Witness,1037
1,Father+John+Misty,Off-Key+In+Hamburg,1022
2,Father+John+Misty,"I+Love+You,+Honeybear",784
3,Father+John+Misty,Fear+Fun,497
4,Daisy+Jones+&+The+Six,AURORA,420
5,Taylor+Swift,1989+(Deluxe+Edition),408
6,Childish+Gambino,Camp,389
7,Alex+Cameron,Miami+Memory,371
8,Beastie+Boys,Paul%27s+Boutique+(20th+Anniversary+Remastered+Edition),361
9,Father+John+Misty,God%27s+Favorite+Customer,353
10,Taylor+Swift,folklore,353
11,Taylor+Swift,Midnights+(3am+Edition),353
12,Taylor+Swift,Lover,340
13,Lana+Del+Rey,Norman+Fucking+Rockwell!,339
14,The+Lonely+Island,Popstar:+Never+Stop+Never+Stopping,319
15,Lana+Del+Rey,Ultraviolence+(Deluxe),301
16,One+Direction,FOUR+(Deluxe),299
17,Carly+Rae+Jepsen,The+Loneliest+Time,289
18,Taylor+Swift,evermore,273
19,Taylor+Swift,Fearless+(Taylor%27s+Version),258
20,Father+John+Misty,Pure+Comedy,255
21,One+Direction,Made+in+the+A.M.+(Deluxe+Edition),250
22,Childish+Gambino,Because+the+Internet,249
23,Interpol,Antics,247
24,Beastie+Boys,Licensed+to+Ill,246
25,Taylor+Swift,Speak+Now+(Taylor%27s+Version),227
26,Cast+of+Mamma+Mia!+The+Movie,Mamma+Mia!+Here+We+Go+Again+(Original+Motion+Picture+Soundtrack),208
27,Lana+Del+Rey,Born+to+Die+-+The+Paradise+Edition,206
28,Beastie+Boys,Paul%27s+Boutique+(20th+Anniversary+Edition+%2F+Remastered),203
29,Father+John+Misty,"Live+at+The+Midland+Theatre+-+Kansas+City,+MO+08%2F09%2F22",200
30,Orville+Peck,Bronco,199
31,The+Last+Dinner+Party,Prelude+to+Ecstasy,196
32,Interpol,Turn+on+the+Bright+Lights,190
33,Taylor+Swift,folklore+(deluxe+version),186
34,Father+John+Misty,Anthem+%252B3,183
35,Arctic+Monkeys,AM,181
36,Arcade+Fire,The+Suburbs+(Deluxe),170
37,Lana+Del+Rey,Honeymoon,170
38,Taylor+Swift,evermore+(deluxe+version),158
39,Vista+Kicks,Booty+Shakers+Ball,155
40,Taylor+Swift,reputation,149
41,One+Direction,Midnight+Memories+(Deluxe),148
42,Vista+Kicks,Twenty+Something+Nightmare,148
43,Bruce+Springsteen,Born+in+the+U.S.A.,147
44,Lana+Del+Rey,Lust+for+Life,145
45,Rihanna,ANTI+(Deluxe),142
46,Fleetwood+Mac,Mirage+(Deluxe+Edition),127
47,Father+John+Misty,Live+at+Electric+Lady,124
48,Megan+Thee+Stallion,Traumazine,117
49,Fleetwood+Mac,Rumours+(Super+Deluxe),108
